company,website,email,icp_score,personalization
Онлайн CRM система. Управление клиентами в современной облачной CRM,amocrm.ru,info@amocrm.ru,3,"Система amoCRM – удобная web программа для анализа продаж, доступная в режиме online из любой точки мира!"
Битрикс24 помогает бизнесу работать,bitrix24.ru,info@bitrix24.ru,3,"Битрикс24 — это полный комплект бесплатных инструментов для ведения бизнеса: CRM, конструктор сайтов и интернет-магазинов, система"
RetailCRM,retailcrm.ru,support@retailcrm.ru,3,"Подключите облачную CRM-платформу и в едином окне автоматизируйте весь цикл обработки заказов, маркетинговые рассылки, сбор чатов "
ПланФикс,planfix.ru,info@planfix.ru,3,Planfix это центр управления компанией
Kommo: AI CRM for sales & messaging automation,kommo.com,support@kommo.com,3,AI-powered CRM built for messenger-based sales
Mindbox,mindbox.ru,info@mindbox.ru,3,"Омниканальная маркетинговая платформа Mindbox объединяет CDP, рассылки, персонализацию и аналитику для автоматизации маркетинга и "
Carrot quest,carrotquest.io,support@carrotquest.io,3,Автоматизируйте лидогенерацию и прогрев клиентов с Carrot quest
Unisender,unisender.com,support@unisender.com,3,Unisender — удобный сервис Email рассылок
Multi,sendpulse.com,info@sendpulse.com,3,"​​Multi-channel marketing automation platform with email, web push, SMS, and chatbots for Facebook, Telegram, WhatsApp, and Instag"
Dashamail.ru,dashamail.ru,info@dashamail.ru,3,Отправить email-рассылку с помощью сервиса ✉ DashaMail: ✅ легко и быстро ✨ множество фишек ⭐ блочный редактор писем и бесплатная т
ePochta,epochta.ru,support@epochta.ru,3,Программы и сервисы для массовых рассылок email и СМС сообщений от ePochta - это полный набор всех необходимых инструментов для ре
CDP,expertsender.ru,info@expertsender.ru,3,"Узнайте, кто ваши клиенты"
roistat.com,roistat.com,info@roistat.com,3,roistat.com
Calltouch,calltouch.ru,info@calltouch.ru,3,"Привлекайте, конвертируйте и анализируйте ваших клиентов"
Омниканальная система для управления коммуникациями,comagic.ru,info@uiscom.ru,3,Единая система управления коммуникациями в маркетинге и продажах
getUNIQ,getuniq.me,info@getuniq.me,3,getUNIQ позволяет эффективно оптимизировать и распределять бюджет рекламных кампаний между всеми крупными рекламными сетями
MANGO OFFICE,mango-office.ru,info@mango-office.ru,2,Облачные бизнес-коммуникации MANGO OFFICE берегут самое ценное — Ваши деньги и Ваше время
"Virtual Phone System, Phone numbers and PBX",zadarma.com,info@zadarma.com,2,"Zadarma offers virtual phone numbers in 100+ countries, free cloud PBX and CRM systems"
Live Chat Software for Websites,jivosite.com,info@jivosite.com,2,Install Live Chat on your website and turn your visitors into paying customers with Jivo
LiveTex,livetex.ru,hello@livetex.ru,2,"Объедините все цифровые каналы коммуникации в одной чат-платформе и не пропустите ни одного обращения: чат для сайта, чат в мобиль"
Чат,chat2desk.com,info@chat2desk.com,2,"Чат-центр Chat2Desk ➤ WhatsApp, MAX, Telegram, ВКонтакте, Авито, онлайн чаты для сайта ⭐ Агрегатор мессенджеров для CRM и техподде"
edna,edna.ru,info@edna.ru,2,IT решения для бизнеса в сфере цифровых коммуникаций
Система автоматизации рекрутмента,huntflow.ru,info@huntflow.ru,2,"Хантфлоу — система автоматизации рекрутмента, которая помогает закрывать вакансии в срок"
CRM,talantix.ru,info@talantix.ru,2,Автоматизация рекрутмента ✔️ Talantix освободит до 30% вашего времени
hrlink.ru,hrlink.ru,info@hrlink.ru,2,hrlink.ru
